Frequencies broadcast by the ionosonde in Eureka (Hz)
1.5e+06
1.56e+06
1.58326e+06
1.62661e+06
1.67114e+06
1.71689e+06
1.7639e+06
1.81219e+06
1.86181e+06
1.91278e+06
1.96515e+06
2.018e+06
2.07423e+06
2.13102e+06
2.20e+06
2.2493e+06
2.31089e+06
2.37415e+06
2.43916e+06
2.51e+06
2.57454e+06
2.64503e+06
2.71745e+06
2.79185e+06
2.86828e+06
2.94681e+06
3.02749e+06
3.11038e+06
3.19554e+06
3.28303e+06
3.37291e+06
3.46526e+06
3.56013e+06
3.6576e+06
3.75774e+06
3.86062e+06
3.96632e+06
4.07491e+06
4.187e+06
4.30109e+06
4.41885e+06
4.53983e+06
4.66412e+06
4.79182e+06
4.933e+06
5.0578e+06
5.201e+06
5.33854e+06
5.4847e+06
5.63486e+06
5.78914e+06
5.94763e+06
6.11047e+06
6.278e+06
6.44964e+06
6.62622e+06
6.813e+06
6.99402e+06
7.18551e+06
7.38223e+06
7.58435e+06
7.792e+06
8.00533e+06
8.2245e+06
8.44968e+06
8.68101e+06
8.91869e+06
9.16287e+06
9.41373e+06
9.67146e+06
9.93626e+06
1.02083e+07
1.04878e+07
1.07749e+07
1.10699e+07
1.1373e+07
1.16844e+07
1.20043e+07
1.23329e+07
1.26706e+07
1.30175e+07
1.35e+07
1.374e+07
1.41162e+07
1.45027e+07
1.489e+07
1.53077e+07
1.57268e+07
1.61574e+07
1.65997e+07
1.70542e+07
1.75211e+07
1.80008e+07
1.84937e+07
1.9e+07
